English Word,French Translation,Type,Meaning 
Gun,Arme à feu,,of Gin
Ginning,égrenage,p. pr. & vb. n.,of Gin
Ginned,Égrené,imp. & p. p.,of Gin
Ging,Ging,n.,"Same as Gang, n., 2."
Gingal,Gingal,n.,See Jingal.
Ginger,Gingembre,n.,"A plant of the genus Zingiber, of the East and West Indies. The species most known is Z. officinale."
Gingerbread,pain d'épice,n.,"A kind of plain sweet cake seasoned with ginger, and sometimes made in fanciful shapes."
Gingerly,Avec précaution,adv.,Cautiously; timidly; fastidiously; daintily.
Gingerness,Gingembre,n.,Cautiousness; tenderness.
Gingham,Vichy,n.,"A kind of cotton or linen cloth, usually in stripes or checks, the yarn of which is dyed before it is woven; -- distinguished from printed cotton or prints."
Ginging,Ginging,n.,The lining of a mine shaft with stones or bricks to prevent caving.
Gingival,Gencives,a.,Of or pertaining to the gums.
Gingle,Gingle,n. & v.,See Jingle.
Ginglyform,Ginglyform,a.,Ginglymoid.
Ginglymodi,Ginglymodi,n.,"An order of ganoid fishes, including the modern gar pikes and many allied fossil forms. They have rhombic, ganoid scales, a heterocercal tail, paired fins without an axis, fulcra on the fins, and a bony skeleton, with the vertebrae convex in front and concave behind, forming a ball and socket joint. See Ganoidel."
Ginglymoid,Ginglymoïde,a.,Alt. of Ginglymoidal
Ginglymoidal,Ginglymoidal,a.,"Pertaining to, or resembling, a ginglymus, or hinge joint; ginglyform."
Ginglymi,Ginglymi,pl. ,of Ginglymus
Ginglymus,Ginglymus,n.,"A hinge joint; an articulation, admitting of flexion and extension, or motion in two directions only, as the elbow and the ankle."
Ginhouse,Ginhouse,n.,A building where cotton is ginned.
Ginkgoes,Ginkgo,pl. ,of Ginkgo
Ginkgo,Ginkgo,n.,"A large ornamental tree (Ginkgo biloba) from China and Japan, belonging to the Yew suborder of Coniferae. Its leaves are so like those of some maidenhair ferns, that it is also called the maidenhair tree."
Ginn,Ginn,pl. ,of Ginnee
Ginnee,Ginnee,n.,See Jinnee.
Ginnet,Ginnet,n.,"See Genet, a horse."
Ginny-carriage,Ginny-carrosse,n.,"A small, strong carriage for conveying materials on a railroad."
Ginseng,Ginseng,n.,"A plant of the genus Aralia, the root of which is highly valued as a medicine among the Chinese. The Chinese plant (Aralia Schinseng) has become so rare that the American (A. quinquefolia) has largely taken its place, and its root is now an article of export from America to China. The root, when dry, is of a yellowish white color, with a sweetness in the taste somewhat resembling that of licorice, combined with a slight aromatic bitterness."
Ginshop,Ginshop,n.,A shop or barroom where gin is sold as a beverage.
Gip,Gip,v. t.,To take out the entrails of (herrings).
Gipoun,Gipoun,n.,A short cassock.
Gipser,Gipser,n.,Alt. of Gipsire
Gipsire,Gipsire,n.,A kind of pouch formerly worn at the girdle.
Gipsy,gitan,n. a.,See Gypsy.
Gipsyism,Tsigane,n.,See Gypsyism.
Giraffe,Girafe,n.,"An African ruminant (Camelopardalis giraffa) related to the deers and antelopes, but placed in a family by itself; the camelopard. It is the tallest of animals, being sometimes twenty feet from the hoofs to the top of the head. Its neck is very long, and its fore legs are much longer than its hind legs."
Girandole,Girond,n.,An ornamental branched candlestick.
Girasole Girasol,Girasole Girasol,n.,See Heliotrope.
Gird,Ceindre,n.,A stroke with a rod or switch; a severe spasm; a twinge; a pang.
Girt,Ceinturon,imp. & p. p.,of Gird
Girded,ceinturé,,of Gird
Girding,ceinturage,p. pr. & vb. n.,of Gird
Girder,Poutre,n.,One who girds; a satirist.
Girdle,Ceinture,n.,A griddle.
Girdled,Ceinturé,imp. & p. p.,of Girdle
Girdling,L'annélation,p. pr. & vb. n.,of Girdle
Girdler,Anneau,n.,One who girdles.
Girdlestead,Girdlestead,n.,That part of the body where the girdle is worn.
Gire,Giré,n.,See Gyre.
Girkin,Girkin,n.,See Gherkin.
Girl,Fille,n.,A young person of either sex; a child.
Girlhood,Jeunesse,n.,State or time of being a girl.
Girlish,De petite fille,a.,"Like, or characteristic of, a girl; of or pertaining to girlhood; innocent; artless; immature; weak; as, girlish ways; girlish grief."
Girlond,Girlon,n.,A garland; a prize.
Girn,Fille,n.,To grin.
Girondist,Girondin,n.,A member of the moderate republican party formed in the French legislative assembly in 1791. The Girondists were so called because their leaders were deputies from the department of La Gironde.
Girrock,Girrock,n.,A garfish.
Girted,Ceinturé,imp. & p. p.,of Girt
Girting,cerclage,p. pr. & vb. n.,of Girt
Girth,Circonférence,n.,"A band or strap which encircles the body; especially, one by which a saddle is fastened upon the back of a horse."
Girtline,Girtline,n.,A gantline.
Gisarm,Gisarm,n.,"A weapon with a scythe-shaped blade, and a separate long sharp point, mounted on a long staff and carried by foot soldiers."
Gise,Gise,v. t.,To feed or pasture.
Gisle,Gisèle,n.,A pledge.
Gismondine,Gismondine,n.,Alt. of Gismondite
Gismondite,Gismondite,n.,"A native hydrated silicate of alumina, lime, and potash, first noticed near Rome."
Gist,Essentiel,n.,A resting place.
Git,Git,n.,See Geat.
Gite,Gite,n.,A gown.
Gith,Gith,n.,"The corn cockle; also anciently applied to the Nigella, or fennel flower."
Gittern,Gittern,n.,An instrument like a guitar.
Gittith,Gittith,n.,"A musical instrument, of unknown character, supposed by some to have been used by the people of Gath, and thence obtained by David. It is mentioned in the title of Psalms viii., lxxxi., and lxxxiv."
Guist,Visiteur,n.,Same as Joust.
Giusto,Giusto,a.,"In just, correct, or suitable time."
Given,Étant donné,p. p.,of Give
Giving,Donnant,p. pr. & vb. n.,of Give
Give,Donner,n.,"To bestow without receiving a return; to confer without compensation; to impart, as a possession; to grant, as authority or permission; to yield up or allow."
Giver,Donneur,n.,One who gives; a donor; a bestower; a grantor; one who imparts or distributes.
Gives,Donne,n.,Fetters.
Gizzard,Gésier,n.,"The second, or true, muscular stomach of birds, in which the food is crushed and ground, after being softened in the glandular stomach (crop), or lower part of the esophagus; the gigerium."
Glabell/,Glabell/,pl. ,of Glabella
Glabella,Glabelle,n.,"The space between the eyebrows, also including the corresponding part of the frontal bone; the mesophryon."
Glabellum,glabellum,n.,"The median, convex lobe of the head of a trilobite. See Trilobite."
Glabrate,Glabre,a.,Becoming smooth or glabrous from age.
Glabreate,Glabreate,v. t.,Alt. of Glabriate
Glabriate,glabre,v. t.,"To make smooth, plain, or bare."
Glabrity,Glabrité,n.,Smoothness; baldness.
Glabrous,Glabre,a.,Smooth; having a surface without hairs or any unevenness.
Glacial,Glacial,a.,"Pertaining to ice or to its action; consisting of ice; frozen; icy; esp., pertaining to glaciers; as, glacial phenomena."
Glacialist,Glacialiste,n.,"One who attributes the phenomena of the drift, in geology, to glaciers."
Glaciate,glaciaire,v. i.,To turn to ice.
Glaciation,Glaciation,n.,Act of freezing.
Glacier,Glacier,n.,"An immense field or stream of ice, formed in the region of perpetual snow, and moving slowly down a mountain slope or valley, as in the Alps, or over an extended area, as in Greenland."
Glacious,glacé,a.,"Pertaining to, consisting of or resembling, ice; icy."
Glacis,Glacis,n.,"A gentle slope, or a smooth, gently sloping bank; especially (Fort.), that slope of earth which inclines from the covered way toward the exterior ground or country (see Illust. of Ravelin)."
Glad,Content de,superl.,"Pleased; joyous; happy; cheerful; gratified; -- opposed to sorry, sorrowful, or unhappy; -- said of persons, and often followed by of, at, that, or by the infinitive, and sometimes by with, introducing the cause or reason."
Gladded,Heureux,imp. & p. p.,of Glad
Gladding,Heureux,p. pr. & vb. n.,of Glad
Gladdened,Heureux,imp. & p. p.,of Gladden
Gladdening,réjouissant,p. pr. & vb. n.,of Gladden
Gladden,Réjouir,v. t.,To make glad; to cheer; to please; to gratify; to rejoice; to exhilarate.
Gladder,Gladder,n.,One who makes glad.
Glade,Clairière,n.,An open passage through a wood; a grassy open or cleared space in a forest.
Gladen,Gladen,n.,"Sword grass; any plant with sword-shaped leaves, esp. the European Iris foetidissima."
Gladeye,Gladeye,n.,The European yellow-hammer.
Gladful,Heureux,a.,Full of gladness; joyful; glad.
Gladiate,Gladiate,a.,"Sword-shaped; resembling a sword in form, as the leaf of the iris, or of the gladiolus."
Gladiator,Gladiateur,n.,"Originally, a swordplayer; hence, one who fought with weapons in public, either on the occasion of a funeral ceremony, or in the arena, for public amusement."
Gladiatorial,Gladiator,a.,Alt. of Gladiatorian
Gladiatorian,gladiateur,a.,"Of or pertaining to gladiators, or to contests or combatants in general."
Gladiatorism,Gladiatorisme,n.,The art or practice of a gladiator.
Gladiatorship,Gladiateur,n.,"Conduct, state, or art, of a gladiator."
Gladiatory,Gladiatoire,a.,Gladiatorial.
Gladiature,Gladiature,n.,Swordplay; fencing; gladiatorial contest.
Gladiole,Glaïeul,n.,"A lilylike plant, of the genus Gladiolus; -- called also corn flag."
Gladioli,Glaïeuls,pl. ,of Gladiolus
Gladioluses,Glaïeuls,pl. ,of Gladiolus
Gladiolus,Glaïeul,n.,"A genus of plants having bulbous roots and gladiate leaves, and including many species, some of which are cultivated and valued for the beauty of their flowers; the corn flag; the sword lily."
Gladii,Gladii,pl. ,of Gladius
Gladius,Gladius,n.,"The internal shell, or pen, of cephalopods like the squids."
Gladly,Volontier,a.,Preferably; by choice.
Gladness,Joie,n.,State or quality of being glad; pleasure; joyful satisfaction; cheerfulness.
Gladship,la joie,n.,A state of gladness.
Gladsome,Heureux,a.,Pleased; joyful; cheerful.
Gladstone,Gladstone,n.,"A four-wheeled pleasure carriage with two inside seats, calash top, and seats for driver and footman."
Gladwyn,Gladwyn,n.,See Gladen.
Glair,Glaire,a.,"The white of egg. It is used as a size or a glaze in bookbinding, for pastry, etc."
Glaired,ébloui,imp. & p. p.,of Glair
Glairing,Glair,p. pr. & vb. n.,of Glair
Glaire,Glaire,n.,See Glair.
Glaireous,Glamour,a.,Glairy; covered with glair.
Glairin,Glairin,n.,"A glairy viscous substance, which forms on the surface of certain mineral waters, or covers the sides of their inclosures; -- called also baregin."
Glairy,Glaireux,a.,"Like glair, or partaking of its qualities; covered with glair; viscous and transparent; slimy."
Glaive,Glaive,n.,"A weapon formerly used, consisting of a large blade fixed on the end of a pole, whose edge was on the outside curve; also, a light lance with a long sharp-pointed head."
Glama,Glama,n.,"A copious gummy secretion of the humor of the eyelids, in consequence of some disorder; blearedness; lippitude."
Glamour,Charme,n.,"A charm affecting the eye, making objects appear different from what they really are."
Glamourie,glamour,n.,Glamour.
Glance,Coup d'œil,n.,A sudden flash of light or splendor.
Glanced,Regardé,imp. & p. p.,of Glance
Glancing,Jetant un coup d'œil,p. pr. & vb. n.,of Glance
Glancingly,Jetant un coup d'œil,adv.,In a glancing manner; transiently; incidentally; indirectly.
Gland,Glande,n.,"An organ for secreting something to be used in, or eliminated from, the body; as, the sebaceous glands of the skin; the salivary glands of the mouth."
Glandage,Glandage,n.,A feeding on nuts or mast.
Glandered,Morve,a.,"Affected with glanders; as, a glandered horse."
Glanderous,Moelleux,a.,Of or pertaining to glanders; of the nature of glanders.
Glanders,Morve,n.,"A highly contagious and very destructive disease of horses, asses, mules, etc., characterized by a constant discharge of sticky matter from the nose, and an enlargement and induration of the glands beneath and within the lower jaw. It may transmitted to dogs, goats, sheep, and to human beings."
Glandiferous,glandifère,a.,"Bearing acorns or other nuts; as, glandiferous trees."
Glandiform,Glandiform,a.,Having the form of a gland or nut; resembling a gland.
Glandular,Glandulaire,a.,Containing or supporting glands; consisting of glands; pertaining to glands.
Glandulation,Glandulation,n.,The situation and structure of the secretory vessels in plants.
Glandule,Glandule,n.,A small gland or secreting vessel.
Glanduliferous,Glandulifère,a.,Bearing glandules.
Glandulose,Glandulose,a.,Same as Glandulous.
Glandulosity,Glandulosité,n.,Quality of being glandulous; a collection of glands.
Glandulous,glanduleux,a.,Containing glands; consisting of glands; pertaining to glands; resembling glands.
Glandes,Glandes,pl. ,of Glans
Glans,Gland,n.,"The vascular body which forms the apex of the penis, and the extremity of the clitoris."
Glared,ébloui,imp. & p. p.,of Glare
Glaring,Flagrant,p. pr. & vb. n.,of Glare
Glare,Éblouissement,v. i.,"To shine with a bright, dazzling light."
Glareous,éblouissant,a.,Glairy.
Glariness,éblouissement,n.,Alt. of Glaringness
Glaringness,Éblouissement,n.,A dazzling luster or brilliancy.
Glary,éblouissant,a.,Of a dazzling luster; glaring; bright; shining; smooth.
Glass,Un verre,v. t.,"A hard, brittle, translucent, and commonly transparent substance, white or colored, having a conchoidal fracture, and made by fusing together sand or silica with lime, potash, soda, or lead oxide. It is used for window panes and mirrors, for articles of table and culinary use, for lenses, and various articles of ornament."
Glassed,Vitré,imp. & p. p.,of Glass
Glassing,Vitrage,p. pr. & vb. n.,of Glass
Glass-crab,Verre-crabe,n.,"The larval state (Phyllosoma) of the genus Palinurus and allied genera. It is remarkable for its strange outlines, thinness, and transparency. See Phyllosoma."
Glassen,Verre,a.,Glassy; glazed.
Glasseye,Oeil de verre,n.,A fish of the great lakes; the wall-eyed pike.
Glass-faced,Verre-face,a.,Mirror-faced; reflecting the sentiments of another.
Glassfuls,Verres pleins,pl. ,of Glassful
Glassful,Plein verre,n.,The contents of a glass; as much of anything as a glass will hold.
Glass-gazing,Verre-regarder,a.,Given to viewing one's self in a glass or mirror; finical.
Glasshouse,serre,n.,A house where glass is made; a commercial house that deals in glassware.
Glassily,vitreux,adv.,So as to resemble glass.
Glassiness,Vitrage,n.,The quality of being glassy.
